gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3083754377,ec186b76-898c-435b-9aea-ebbd5785a25f,NED2009027:143:2523:16:subsample,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Lithodes,Lithodes maja,,SPECIES,"Lithodes maja (Linnaeus, 1758)",Lithodes maja,"(Linnaeus, 1758)",CA,,,PRESENT,,c98a8d0d-cab2-4506-8c0f-c91a5e4996b9,47.135167,-59.987167,,,,,,,2009-07-20T04:59:00,20,7,2009,2224343,2224343,HUMAN_OBSERVATION,Bedford Institute of Oceanography (BIO),,,,,,CC_BY_4_0,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",,,,2021-04-22T16:09:18.365Z,,FOOTPRINT_WKT_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3083753267,ec186b76-898c-435b-9aea-ebbd5785a25f,NED2020025:178:2523:10:subsample,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Lithodes,Lithodes maja,,SPECIES,"Lithodes maja (Linnaeus, 1758)",Lithodes maja,"(Linnaeus, 1758)",CA,,,PRESENT,,c98a8d0d-cab2-4506-8c0f-c91a5e4996b9,45.883333,-58.260667,,,,,,,2020-08-04T00:07:00,4,8,2020,2224343,2224343,HUMAN_OBSERVATION,Bedford Institute of Oceanography (BIO),,,,,,CC_BY_4_0,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",,,,2021-04-22T16:09:05.603Z,,FOOTPRINT_WKT_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3083751512,ec186b76-898c-435b-9aea-ebbd5785a25f,TEM2008830:153:2523:4:subsample,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Lithodes,Lithodes maja,,SPECIES,"Lithodes maja (Linnaeus, 1758)",Lithodes maja,"(Linnaeus, 1758)",CA,,,PRESENT,,c98a8d0d-cab2-4506-8c0f-c91a5e4996b9,45.583167,-57.896333,,,,,,,2008-07-26T12:40:00,26,7,2008,2224343,2224343,HUMAN_OBSERVATION,Bedford Institute of Oceanography (BIO),,,,,,CC_BY_4_0,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",,,,2021-04-22T16:09:14.763Z,,FOOTPRINT_WKT_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3083751511,ec186b76-898c-435b-9aea-ebbd5785a25f,TEM2008830:150:2523:5:subsample,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Lithodes,Lithodes maja,,SPECIES,"Lithodes maja (Linnaeus, 1758)",Lithodes maja,"(Linnaeus, 1758)",CA,,,PRESENT,,c98a8d0d-cab2-4506-8c0f-c91a5e4996b9,46.160333,-58.638167,,,,,,,2008-07-26T03:25:00,26,7,2008,2224343,2224343,HUMAN_OBSERVATION,Bedford Institute of Oceanography (BIO),,,,,,CC_BY_4_0,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",,,,2021-04-22T16:09:14.763Z,,FOOTPRINT_WKT_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3083750155,ec186b76-898c-435b-9aea-ebbd5785a25f,TEM2008830:153:2523:1:subsample,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Lithodes,Lithodes maja,,SPECIES,"Lithodes maja (Linnaeus, 1758)",Lithodes maja,"(Linnaeus, 1758)",CA,,,PRESENT,,c98a8d0d-cab2-4506-8c0f-c91a5e4996b9,45.583167,-57.896333,,,,,,,2008-07-26T12:40:00,26,7,2008,2224343,2224343,HUMAN_OBSERVATION,Bedford Institute of Oceanography (BIO),,,,,,CC_BY_4_0,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",,,,2021-04-22T16:09:18.350Z,,FOOTPRINT_WKT_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3083750154,ec186b76-898c-435b-9aea-ebbd5785a25f,TEM2008830:150:2523:2:subsample,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Lithodes,Lithodes maja,,SPECIES,"Lithodes maja (Linnaeus, 1758)",Lithodes maja,"(Linnaeus, 1758)",CA,,,PRESENT,,c98a8d0d-cab2-4506-8c0f-c91a5e4996b9,46.160333,-58.638167,,,,,,,2008-07-26T03:25:00,26,7,2008,2224343,2224343,HUMAN_OBSERVATION,Bedford Institute of Oceanography (BIO),,,,,,CC_BY_4_0,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",,,,2021-04-22T16:09:18.350Z,,FOOTPRINT_WKT_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3083750120,ec186b76-898c-435b-9aea-ebbd5785a25f,TEM2008830:124:2523:1:subsample,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Lithodes,Lithodes maja,,SPECIES,"Lithodes maja (Linnaeus, 1758)",Lithodes maja,"(Linnaeus, 1758)",CA,,,PRESENT,,c98a8d0d-cab2-4506-8c0f-c91a5e4996b9,44.304667,-59.165167,,,,,,,2008-07-22T19:40:00,22,7,2008,2224343,2224343,HUMAN_OBSERVATION,Bedford Institute of Oceanography (BIO),,,,,,CC_BY_4_0,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",,,,2021-04-22T16:09:18.347Z,,FOOTPRINT_WKT_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3083749867,ec186b76-898c-435b-9aea-ebbd5785a25f,TEL2007745:164:2523:6:subsample,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Lithodes,Lithodes maja,,SPECIES,"Lithodes maja (Linnaeus, 1758)",Lithodes maja,"(Linnaeus, 1758)",CA,,,PRESENT,,c98a8d0d-cab2-4506-8c0f-c91a5e4996b9,47.059167,-60.097667,,,,,,,2007-07-29T00:07:00,29,7,2007,2224343,2224343,HUMAN_OBSERVATION,Bedford Institute of Oceanography (BIO),,,,,,CC_BY_4_0,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",,,,2021-04-22T16:09:18.328Z,,FOOTPRINT_WKT_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3083749866,ec186b76-898c-435b-9aea-ebbd5785a25f,TEL2007745:164:2523:2:subsample,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Lithodes,Lithodes maja,,SPECIES,"Lithodes maja (Linnaeus, 1758)",Lithodes maja,"(Linnaeus, 1758)",CA,,,PRESENT,,c98a8d0d-cab2-4506-8c0f-c91a5e4996b9,47.059167,-60.097667,,,,,,,2007-07-29T00:07:00,29,7,2007,2224343,2224343,HUMAN_OBSERVATION,Bedford Institute of Oceanography (BIO),,,,,,CC_BY_4_0,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",,,,2021-04-22T16:09:18.328Z,,FOOTPRINT_WKT_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3083749511,ec186b76-898c-435b-9aea-ebbd5785a25f,NED2020025:178:2523:7:subsample,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Lithodes,Lithodes maja,,SPECIES,"Lithodes maja (Linnaeus, 1758)",Lithodes maja,"(Linnaeus, 1758)",CA,,,PRESENT,,c98a8d0d-cab2-4506-8c0f-c91a5e4996b9,45.883333,-58.260667,,,,,,,2020-08-04T00:07:00,4,8,2020,2224343,2224343,HUMAN_OBSERVATION,Bedford Institute of Oceanography (BIO),,,,,,CC_BY_4_0,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",,,,2021-04-22T16:09:18.287Z,,FOOTPRINT_WKT_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
