Coral species,Transmission
Acanthastrea echinata,Horizontal
Acanthastrea hemprichii,
Acropora abrolhosensis,Horizontal
Acropora aculeus,Horizontal
Acropora appressa,
Acropora aspera,Horizontal
Acropora austera,Horizontal
Acropora cerealis,Horizontal
Acropora cervicornis,Horizontal
Acropora clathrata,Horizontal
Acropora copiosa,Horizontal
Acropora cytherea,Horizontal
Acropora danae,
Acropora danei,
Acropora digitifera,Horizontal
Acropora divaricata,Horizontal
Acropora donei,Horizontal
Acropora elseyi,Horizontal
Acropora exquisita,
Acropora florida,Horizontal
Acropora formosa,
Acropora gemmifera,Horizontal
Acropora glauca,Horizontal
Acropora grandis,Horizontal
Acropora granulosa,Horizontal
Acropora horrida,Horizontal
Acropora humilis,Horizontal
Acropora hyacinthus,Horizontal
Acropora latistella,Horizontal
Acropora listeri,Horizontal
Acropora longicyathus,Horizontal
Acropora loripes,Horizontal
Acropora lutkeni,Horizontal
Acropora microclados,Horizontal
Acropora microphthalma,Horizontal
Acropora millepora,Horizontal
Acropora monticulosa,Horizontal
Acropora nasuta,Horizontal
Acropora nobilis,
Acropora palifera,
Acropora palmata,Horizontal
Acropora paniculata,
Acropora polystoma,Horizontal
Acropora pulchra,Horizontal
Acropora retusa,
Acropora robusta,Horizontal
Acropora rudis,
Acropora samoensis,Horizontal
Acropora sarmentosa,Horizontal
Acropora secale,Horizontal
Acropora selago,Horizontal
Acropora solitaryensis,Horizontal
Acropora spicifera,Horizontal
Acropora subglabra,
Acropora subulata,Horizontal
Acropora tenuis,Horizontal
Acropora torresiana,
Acropora valida,Horizontal
Acropora verweyi,Horizontal
Acropora yongei,Horizontal
Agaricia agaricites,Vertical
Agaricia agaricites f. agar,Vertical
Agaricia agaricites f. dana,Vertical
Agaricia fragilis,Vertical
Agaricia humilis,Vertical
Agaricia lamarcki,
Agaricia tenuifolia,Vertical
Agaricia undata,
Alveopora fenestrata,
Astreopora myriophthalma,Horizontal
Australomussa rowleyensis,
Caulastrea  chalcidicum,
Caulastrea furcata,Horizontal
Cladocora  arbuscula,
Coeloseris mayeri,Horizontal
Colpophyllia natans,Horizontal
Coscinaraea columna,
Coscinaraea crassa,
Coscinaraea exesa,
Coscinaraea marshae,
Coscinaraea mcneilli,
Coscinaraea monile,
Coscinaraea wellsi,
Cycloseris vaughani,
Cynarina lacrymalis,
Cyphastrea chalcidicum,Horizontal
Cyphastrea decadia,
Cyphastrea japonica,
Cyphastrea microphthalma,Horizontal
Cyphastrea ocellina,Vertical
Cyphastrea serailia,Horizontal
Dendrogyra  cylindrus,Horizontal
Dichocoenia stokesii,
Diploastrea heliopora,Horizontal
Diploria clivosa,Horizontal
Diploria labyrinthiformis,Horizontal
Diploria strigosa,Horizontal
Echinophyllia aspera,
Echinophyllia echinata,
Echinophyllia echinoporoide,
Echinophyllia orpheensis,Horizontal
Echinopora gemmacea,Horizontal
Echinopora hirsutissima,
Echinopora horrida,Horizontal
Echinopora lamellosa,Horizontal
Echinopora mammiformis,
Echinopora pacificus,
Echinopora robusta,
Euphyllia ancora,
Euphyllia divisa,
Euphyllia glabrescens,Vertical
Eusmilia  fastigiata,Horizontal
Favia favus,Horizontal
Favia fragum,Vertical
Favia lizardensis,Horizontal
Favia matthaii,Horizontal
Favia pallida,Horizontal
Favia rotundata,
Favia speciosa,Horizontal
