"UTC","MorroBay","PST"
2020-08-01 07:01:12,14.2108,2020-08-01 00:00:00
2020-08-01 07:31:11,15.0054,2020-08-01 00:30:00
2020-08-01 08:01:11,15.4551,2020-08-01 01:00:00
2020-08-01 08:31:11,15.7804,2020-08-01 01:30:00
2020-08-01 09:01:12,16.3063,2020-08-01 02:00:00
2020-08-01 09:31:12,16.7647,2020-08-01 02:30:00
2020-08-01 10:01:12,17.4679,2020-08-01 03:00:00
2020-08-01 10:31:11,17.1704,2020-08-01 03:30:00
2020-08-01 11:01:11,17.7655,2020-08-01 04:00:00
2020-08-01 11:31:12,17.6479,2020-08-01 04:30:00
2020-08-01 12:01:12,17.6148,2020-08-01 05:00:00
2020-08-01 12:31:12,17.3716,2020-08-01 05:30:00
2020-08-01 13:01:12,17.0228,2020-08-01 06:00:00
2020-08-01 13:31:12,15.7913,2020-08-01 06:30:00
2020-08-01 14:01:12,14.8789,2020-08-01 07:00:00
2020-08-01 14:31:12,14.2291,2020-08-01 07:30:00
2020-08-01 15:01:12,13.3858,2020-08-01 08:00:00
2020-08-01 15:31:12,13.2334,2020-08-01 08:30:00
2020-08-01 16:01:12,13.0626,2020-08-01 09:00:00
2020-08-01 16:31:12,13.0252,2020-08-01 09:30:00
2020-08-01 17:01:12,13.1049,2020-08-01 10:00:00
2020-08-01 17:31:12,13.266,2020-08-01 10:30:00
2020-08-01 18:01:12,13.0761,2020-08-01 11:00:00
2020-08-01 18:31:12,13.2226,2020-08-01 11:30:00
2020-08-01 19:01:12,13.2355,2020-08-01 12:00:00
2020-08-01 19:31:12,13.3486,2020-08-01 12:30:00
2020-08-01 20:01:12,13.4098,2020-08-01 13:00:00
2020-08-01 20:31:12,13.4908,2020-08-01 13:30:00
2020-08-01 21:01:12,13.6828,2020-08-01 14:00:00
2020-08-01 21:31:12,14.0837,2020-08-01 14:30:00
2020-08-01 22:01:12,14.3407,2020-08-01 15:00:00
2020-08-01 22:31:12,14.5478,2020-08-01 15:30:00
2020-08-01 23:01:12,14.5414,2020-08-01 16:00:00
2020-08-01 23:31:12,14.7995,2020-08-01 16:30:00
2020-08-02 00:31:12,13.7335,2020-08-01 17:30:00
2020-08-02 01:01:12,13.2751,2020-08-01 18:00:00
2020-08-02 01:31:12,12.9096,2020-08-01 18:30:00
2020-08-02 02:01:11,12.6896,2020-08-01 19:00:00
2020-08-02 02:31:11,12.5204,2020-08-01 19:30:00
2020-08-02 03:01:12,12.5104,2020-08-01 20:00:00
2020-08-02 03:31:12,12.6211,2020-08-01 20:30:00
2020-08-02 04:01:12,12.5408,2020-08-01 21:00:00
2020-08-02 04:31:11,12.5549,2020-08-01 21:30:00
2020-08-02 05:01:11,12.641,2020-08-01 22:00:00
2020-08-02 05:31:11,12.6035,2020-08-01 22:30:00
2020-08-02 06:01:12,12.6953,2020-08-01 23:00:00
2020-08-02 06:31:12,12.9167,2020-08-01 23:30:00
2020-08-02 07:01:12,13.1378,2020-08-02 00:00:00
2020-08-02 07:31:11,13.5932,2020-08-02 00:30:00
2020-08-02 08:01:11,14.5179,2020-08-02 01:00:00
2020-08-02 08:31:11,15.1972,2020-08-02 01:30:00
2020-08-02 09:01:12,15.5158,2020-08-02 02:00:00
2020-08-02 09:31:12,15.9358,2020-08-02 02:30:00
2020-08-02 10:01:12,16.4914,2020-08-02 03:00:00
2020-08-02 10:31:11,16.8202,2020-08-02 03:30:00
2020-08-02 11:01:11,16.8492,2020-08-02 04:00:00
2020-08-02 11:31:12,17.2844,2020-08-02 04:30:00
2020-08-02 12:01:12,17.4799,2020-08-02 05:00:00
2020-08-02 12:31:12,17.3526,2020-08-02 05:30:00
2020-08-02 13:01:11,17.1121,2020-08-02 06:00:00
2020-08-02 13:31:12,17.0322,2020-08-02 06:30:00
2020-08-02 14:01:12,16.0664,2020-08-02 07:00:00
